user_ID,audio_sample,MOS,system_ID,speaker_ID
L126ADAB65B,LA_E_7151962.wav,5,A07,LA_0028
L126ADAB65B,LA_E_6082233.wav,0,A18,LA_0035
L126ADAB65B,LA_E_4347823.wav,4,A08,LA_0029
L126ADAB65B,LA_E_6392124.wav,5,A16,LA_0005
L126ADAB65B,LA_E_5208000.wav,0,A17,LA_0041
L126ADAB65B,LA_E_8769405.wav,7,A11,LA_0024
L126ADAB65B,LA_E_3946550.wav,6,A19,LA_0002
L126ADAB65B,LA_E_8285488.wav,6,A07,LA_0012
L126ADAB65B,LA_E_2779152.wav,4,A16,LA_0044
L126ADAB65B,LA_E_1732685.wav,5,A08,LA_0036
L000ED7D8E6,LA_E_2203511.wav,0,A11,LA_0021
L000ED7D8E6,LA_E_7400085.wav,0,A12,LA_0038
L000ED7D8E6,LA_E_5886692.wav,0,A08,LA_0034
L000ED7D8E6,LA_E_9950075.wav,0,A09,LA_0007
L000ED7D8E6,LA_E_2223230.wav,3,A19,LA_0029
L000ED7D8E6,LA_E_9791921.wav,2,A08,LA_0025
L0768F69CBE,LA_E_6324713.wav,1,A12,LA_0032
L02BDDCE5AB,LA_E_4983722.wav,5,A14,LA_0047
L02BDDCE5AB,LA_E_9822883.wav,4,A10,LA_0007
L00FC812908,LA_E_1996218.wav,8,A18,LA_0016
L02BDDCE5AB,LA_E_9951941.wav,4,A11,LA_0003
L054EA5472A,LA_E_4632515.wav,6,A17,LA_0032
L02BDDCE5AB,LA_E_8034941.wav,6,A09,LA_0008
PD839F61EEE,LA_E_6387674.wav,1,A16,LA_0043
L0768F69CBE,LA_E_4010040.wav,0,A08,LA_0023
PD839F61EEE,LA_E_5196065.wav,2,A16,LA_0032
PFD4460EAFB,LA_E_6330798.wav,5,A12,LA_0041
L0161892F17,LA_E_8291976.wav,0,A11,LA_0010
L0161892F17,LA_E_1042982.wav,0,A14,LA_0024
PFD4460EAFB,LA_E_7432852.wav,0,A19,LA_0017
L0161892F17,LA_E_5544904.wav,3,A15,LA_0001
PFD4460EAFB,LA_E_2838611.wav,7,A11,LA_0004
PFD4460EAFB,LA_E_4010966.wav,0,A11,LA_0005
PFD4460EAFB,LA_E_6742514.wav,2,A14,LA_0034
PFD4460EAFB,LA_E_1260979.wav,8,A13,LA_0044
L0174ACC974,LA_E_6815461.wav,0,A11,LA_0017
PFD4460EAFB,LA_E_9543393.wav,8,A15,LA_0007
PFD4460EAFB,LA_E_2213108.wav,0,A08,LA_0011
L0174ACC974,LA_E_8608448.wav,3,A19,LA_0013
L0174ACC974,LA_E_8452305.wav,3,A18,LA_0003
PFD4460EAFB,LA_E_4217982.wav,3,A18,LA_0010
L0174ACC974,LA_E_8474417.wav,0,A19,LA_0016
PFD4460EAFB,LA_E_3088379.wav,6,A19,LA_0027
PFD4460EAFB,LA_E_1237820.wav,3,A16,LA_0004
L0174ACC974,LA_E_7083906.wav,3,A14,LA_0038
PFD4460EAFB,LA_E_9497931.wav,0,A11,LA_0042
L0174ACC974,LA_E_6952708.wav,0,A14,LA_0010
L0174ACC974,LA_E_9933865.wav,0,A08,LA_0038
PFD4460EAFB,LA_E_3478302.wav,2,A17,LA_0035
L0174ACC974,LA_E_1544490.wav,0,A13,LA_0043
PFD4460EAFB,LA_E_5429827.wav,0,A11,LA_0044
PFD4460EAFB,LA_E_9890776.wav,1,A17,LA_0001
L0174ACC974,LA_E_1115136.wav,0,A13,LA_0036
L019C59D863,LA_E_5803648.wav,3,A11,LA_0041
